sentences	labels
Am 9. April 1946 wurde die zerstörte, nun im britischen Sektor des geteilten Berlins liegende Bildungseinrichtung als Technische Universität Berlin mit humanistischer Neuausrichtung (vorgeschriebener humanistischer Studienanteil, Studium generale) neu gegründet.	<arg1> Technische Universität Berlin </arg1> <rel> Sektor </rel> <arg2> Berlin </arg2>
Stefan Worth hat in 18 Profikämpfen eine Bilanz von 15 Siegen, einem Unentschieden und zwei Niederlagen.	<arg1> Stefan Worth </arg1> <rel> kämpfe </rel> <arg2> 18 </arg2>
Stefan Worth hat in 18 Profikämpfen eine Bilanz von 15 Siegen, einem Unentschieden und zwei Niederlagen.	<arg1> Stefan Worth </arg1> <rel> Unentschieden </rel> <arg2> 1 </arg2>
Heroes & Generals wird durch „Retox“, eine von Reto-Moto entwickelte, browserbasierte 3D-Spiel-Engine angetrieben.	<arg1> Heroes & Generals </arg1> <rel> Engine </rel> <arg2> Retox </arg2>
Seit der Saison 2005/06 dient die Max-Schmeling-Halle als „Fuchsbau“ und somit als Spielstätte der Füchse Berlin.	<arg1> Füchse Berlin </arg1> <rel> Halle </rel> <arg2> Max-Schmeling-Halle </arg2>
Weil die Rebsorte in Frankreich durch die Reblausplage nahezu vollständig verschwand, geriet der Name Carménère Anfang des 20. Jahrhunderts in Vergessenheit.	<arg1> Carménère </arg1> <rel> Anfang </rel> <arg2> Frankreich </arg2>
Der B-52-Absturz auf der Fairchild Air Force Base am 24. Juni 1994 war ein Flugzeugabsturz während eines Trainingsflugs, bei dem die vier Besatzungsmitglieder einer USAF B-52 Stratofortress ums Leben kamen.	<arg1> B-52-Absturz auf der Fairchild Air Force Base </arg1> <rel> Besatzung </rel> <arg2> 4 </arg2>
Polypropylencarbonat (PPC) ist ein thermoplastisches Copolymer aus der Gruppe der Polycarbonate, hergestellt aus den Bausteinen Kohlendioxid und Propylenoxid.	<arg1> Polypropylencarbonat </arg1> <rel> Bausteine </rel> <arg2> Propylenoxid </arg2>
Polypropylencarbonat (PPC) ist ein thermoplastisches Copolymer aus der Gruppe der Polycarbonate, hergestellt aus den Bausteinen Kohlendioxid und Propylenoxid.	<arg1> Polypropylencarbonat </arg1> <rel> Bausteine </rel> <arg2> Kohlendioxid </arg2>
Die Gangster werden nicht mehr gebraucht und verlassen Manderlay.	<arg1> Manderlay </arg1> <rel> Gang </rel> <arg2> und </arg2>
